"Content","Video title","Duração","Inscritos","Avg Viewed %","Likes","Shares","Views","Impressões","CTR %","Avg View Duration","Ano","Data Publicação","Mês_Ano","Creator","Categoria","Total Comments","Link","Conversão Inscritos","Conversão Comments"
"raSrHcVYe0E","Você NÃO TEM IDEIA do que o VINI JR está fazendo",672,294,43.49,6310,514,55049,631994,5.59,"00:04:52",2026,"2026-02-20","02-2026","João","FUTEBOL INVISIVEL",840,"https://www.youtube.com/watch?v=raSrHcVYe0E",0.005340696470417265,0.015259132772620755
"GCKr8_3HgT8","CAULY é mais um ANÁRQUICO para o meio do São Paulo",948,286,32.78,3446,145,77709,909240,5.8,"00:05:10",2026,"2026-02-15","02-2026","Rai","COMO JOGA",157,"https://www.youtube.com/watch?v=GCKr8_3HgT8",0.003680397379968858,0.002020358002290597
"NjHUhCDRI9I","O que atacantes PROFISSIONAIS NÃO CONTAM pros AMADORES",1036,503,33.85,5216,232,78179,1035907,4.58,"00:05:50",2026,"2026-02-14","02-2026","João","COMO SER JOGADOR",129,"https://www.youtube.com/watch?v=NjHUhCDRI9I",0.006433952851788843,0.0016500594788881925
"KHsmvOhXz0A","FINALMENTE PODEMOS TER ESPERANÇA",1537,523,36.99,8146,357,89873,1433752,4.68,"00:09:28",2026,"2026-02-13","02-2026","Felipe","FUTEBOL INVISIVEL",552,"https://www.youtube.com/watch?v=KHsmvOhXz0A",0.005819322822204666,0.006142000378311617
"aaWXuNkrpVo","O INVENTOR DO FUTEBOL MODERNO",1452,259,35.72,4001,235,46723,799091,3.4,"00:08:38",2026,"2026-02-11","02-2026","Felipe","FUTEBOL NO MUNDO",187,"https://www.youtube.com/watch?v=aaWXuNkrpVo",0.00554330843481797,0.004002311495409114
"kUSqYx_79Yc","A Maioria ERRA ao Escolher o MELHOR REFORÇO do Brasil e NEM SABE",617,131,48.2,2826,51,30412,386681,5.5,"00:04:57",2026,"2026-02-10","02-2026","João","COMO JOGA",90,"https://www.youtube.com/watch?v=kUSqYx_79Yc",0.004307510193344732,0.0029593581480994342
"zYs7AnF3QTc","O segredo por trás de Labyad: por que o Corinthians o contratou?",634,64,36.57,2232,98,61296,699766,6.09,"00:03:51",2026,"2026-02-10","02-2026","Rai","COMO JOGA",157,"https://www.youtube.com/watch?v=zYs7AnF3QTc",0.0010441138084051162,0.0025613416862438005
"VuxBvoGSeBc","Danielzinho e Marcos Antonio MUDARAM TOTALMENTE o São Paulo",1015,181,41.1,3348,175,46440,679701,5,"00:06:57",2026,"2026-02-09","02-2026","Rai","EXPLICANDO",171,"https://www.youtube.com/watch?v=VuxBvoGSeBc",0.003897502153316107,0.003682170542635659
"0L1rA9wqb6k","ENDRICK é SIM o NOVO RONALDO (e eu posso provar!)",605,89,48.44,4287,130,46201,520990,5.3,"00:04:53",2026,"2026-02-08","02-2026","João","SELEÇÃO BRASILEIRA",321,"https://www.youtube.com/watch?v=0L1rA9wqb6k",0.0019263652301898227,0.0069479015605722816
"OfAIetflRak","ZIDANE jogou o PRIME do FUTEBOL",461,3,37.44,587,16,5944,108149,3.69,"00:02:52",2026,"2026-02-07","02-2026","Rai","FUTEBOL NO MUNDO",19,"https://www.youtube.com/watch?v=OfAIetflRak",0.0005047106325706595,0.00319650067294751
